Item;Description;PartNumber;SpecialInstructions;List;ERP;IMSKU;LEVEL2
1;WC7220i 20ppm w/ stand, 2-520 sht trys , 50 sht Bypass Try, OCT, 2GB Mb, Scn to Mbox, Scn to E-mail, Disk Encrypt & Image Overwrite, Searchable PDF, Thumbnail Preview, Scan to PC, Ntwrk Scan, Job Flow Shts, Hi Compress PDF, JBased Accntng, Svr Fax, XPS Pr;7220/P2I;;$7,176.00;$4,924.00;3F0758;$2,794.16
10;Integrated Office Finisher 500 sheets of 20 lb Bond 8.5 x 11 in._A4 or 250 sheets of 20 lb Bond 11 x 17 in._A3 Single Position Stapling 50 Sht A4 _ 30 Sht A3;097S04123;;$999.00;$849.00;RZ3297;$571.65
100;"WorkCentre  7845 Addl 57 Months Of Svc; Extended On-Site Service For A Total Of 5 Yrs. Available Only During 1St 90 Days Of Product Ownership";E7845S5P;;$8,999.00;$8,999.00;RZ3403;$7,499.12
101;"WorkCentre 7855 1 Yr Service; Annual On-Site Service.. Electronic Service Agreement WorkCentre 7855";E7855SAP;;$2,799.00;$2,799.00;RZ3408;$2,332.49
102;"WorkCentre 7855 Addl 21 Months Svc; Extended On-Site Service For A Total Of 2 Yrs. Available Only During 1St 90 Days Of Product Ownership";E7855S2P;;$4,999.00;$4,999.00;RZ3405;$4,165.81
103;"WorkCentre 7855 Addl 33 Months Of Svc; Extended On-Site Service For A Total Of 3 Yrs. Available Only During 1St 90 Days Of Product Ownership";E7855S3P;;$7,399.00;$7,399.00;RZ3406;$6,165.79
104;"WorkCentre  7855 Addl 57 Months Of Svc; Extended On-Site Service For A Total Of 5 Yrs. Available Only During 1St 90 Days Of Product Ownership";E7855S5P;;$9,899.00;$9,899.00;RZ3407;$8,249.11
105;Black Toner Cartridge;006R01513;;26;$175.00;TL2914;$152.10
106;Yellow Toner Cartridge;006R01514;;15;$193.00;TL2915;$160.42
107;Magenta Toner Cartridge;006R01515;;15;$193.00;TL2916;$160.42
108;Cyan Toner Cartridge;006R01516;;15;$193.00;TL2917;$160.42
109;Drum Cartridge;013R00662;;125;$400.00;TL2918;$330.55
11;1 Line Fax Kit;497K06230;See Note;$1,095.00;$895.00;6C3259;$489.17
110;Transfer Belt Roller;001R00613;;160;$60.00;TL2919;$49.58
111;Waste Toner Container;008R13061;;43;$40.00;TL2912;$26.25
112;Transfer Roller;008R13064;;200;$308.00;TL2913;$203.20
113;Staple Cartridge for Booklet Maker or Professional Finisher;008R12897;;16;$162.00;TL2767;$151.34
114;Staple Refills for Integrated Office Finisher, Office Finisher LX, Advanced Office Finisher, Professional Finisher and Convenience Stapler;008R12941;;15;$156.05;TG0490;$86.36
115;Staple Cartridge for Professional Finisher;008R12925;;20;$257.73;TG0669;$139.82
116;Staple Cartridge Used on stacker tray, Advanced & Professional Finishers;008R12964;;5;$128.00;UN5057;$126.85
117;WC7970i Copy/Print/Clr Scan (70/70) 4 trays - 3,040 sheets 100 Sht bypass, 2x240 OCT's 100 sht face up tray,  EIP, Data Security JBased Acctng, PScript, Full Netwrk Scan, Server & IFax BIM;7970/PH2I;Requires dedicated 20 Amp circuit;$31,597.00;$18,902.00;3F0756;$12,745.71
118;WC7970i Copy/Print/Clr Scan (70/70) 4 trays - 3,040 sheets 100 Sht bypass, 2x240 OCT's 100 sht face up tray,  EIP, Data Security JBased Acctng, PScript, Full Netwrk Scan, Server & IFax Finisher & 1 Line Fax Kit (497K06230) W/ BR Finisher (497K15850);7970/PHXF2I;Requires dedicated 20 Amp circuit;$34,142.00;$21,447.00;6G4194;$14,459.61
119;BR Finisher w_ 2_3 Hole Punch & Horizontal Transport Kit;497K15850;;$2,995;$1,650;XR2510;$1,143.29
12;2 Line Fax Kit;497K06240;;$1,399.00;$1,399.00;6C3260;$1,142.48
120;BR Booklet Maker Finisher with 2_3 Hole Punch w_ Horizontal Transport Kit;497K15870;;$4,995;$3,300;XR2511;$2,449.10
